,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
27,"East Arjun Nagar, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
28,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
29,"IHBAS, Dilshad Garden, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
30,"ITO, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
31,"Jahangirpuri, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
32,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
33,"Lodhi Road, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
34,"Major Dhyan Chand National Stadium, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
35,"Mandir Marg, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
36,"Mundka, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
37,"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
38,"Najafgarh, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
39,"Narela, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
40,"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
41,"North Campus, DU, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
42,"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
43,"Patparganj, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
44,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
45,"Pusa, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
46,"Pusa, Delhi - IMD",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
47,"R K Puram, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
48,"Rohini, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
49,"Shadipur, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
50,"Sirifort, Delhi - CPCB",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
51,"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
52,"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
53,"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
54,"Wazirpur, Delhi - DPCC",Delhi,Delhi,"Delhi, Delhi, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India",28.6517178,77.2219388,38.15923883721523,618.4308838622189,1885.1610442175524
55,"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India","Ahmedabad, Gujarat, 380001, India",23.0215374,72.5800568,51.02614576207708,359.8826063227064,1291.2149494303749
56,"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,"Ankleshwar, Gujarat, India","Ankleshwar, Ankleshwar Taluka, Bharuch, Gujarat, India",21.6293206,72.9945103,7.334456750969766,912.1685876782012,866.5467264578826
57,"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,"Gandhinagar, Gujarat, India","Gandhinagar, Gandhinagar Taluka, Gandhinagar, Gujarat, India",23.2232877,72.6492267,66.27026765717366,297.375196429727,2412.343533469761
58,"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,"Nandesari, Gujarat, India","Nandesari, NH48, Vadodara Rural Taluka, Vadodara, Gujarat, 391350, India",22.4178037,73.0949186,33.10302022881256,2743.0730505743068,13.800497314013292
