StationName,City,State,FullAddress,location,latitude,longitude
"Maninagar, Ahmedabad - GPCB",Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India","Ahmedabad, Gujarat, 380001, India",23.0215374,72.5800568
"GIDC, Ankleshwar - GPCB",Ankleshwar,Gujarat,"Ankleshwar, Gujarat, India","Ankleshwar, Ankleshwar Taluka, Bharuch, Gujarat, India",21.6293206,72.9945103
"Sector-10, Gandhinagar - GPCB",Gandhinagar,Gujarat,"Gandhinagar, Gujarat, India","Gandhinagar, Gandhinagar Taluka, Gandhinagar, Gujarat, India",23.2232877,72.6492267
"GIDC, Nandesari - Nandesari Ind. Association",Nandesari,Gujarat,"Nandesari, Gujarat, India","Nandesari, NH48, Vadodara Rural Taluka, Vadodara, Gujarat, 391350, India",22.4178037,73.0949186
"Phase-1 GIDC, Vapi - GPCB",Vapi,Gujarat,"Vapi, Gujarat, India","Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",20.3735482,72.9084376
"Phase-4 GIDC, Vatva - GPCB",Vatva,Gujarat,"Vatva, Gujarat, India","Vatva, Vatva phase -2 road, Vatva Gidc, Vatva Taluka, Ahmedabad, Gujarat, 382445, India",22.9589978,72.6297981
"Patti Mehar, Ambala - HSPCB",Ambala,Haryana,"Ambala, Haryana, India","Ambala, Ambala Cantt, Ambala, Haryana, 134002, India",30.3843674,76.770421
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,Haryana,"Bahadurgarh, Haryana, India","Bahadurgarh, Jhajjar, Haryana, India",28.6609648,76.8346765
"Nathu Colony, Ballabgarh - HSPCB",Ballabgarh,Haryana,"Ballabgarh, Haryana, India","Ballabgarh, Faridabad, Haryana, India",28.2940728,77.3592238
"H.B. Colony, Bhiwani - HSPCB",Bhiwani,Haryana,"Bhiwani, Haryana, India","Bhiwani, Haryana, 125021, India",28.7931703,76.1391283
"Municipal Corporation Office, Dharuhera - HSPCB",Dharuhera,Haryana,"Dharuhera, Haryana, India","Dharuhera, Rewari, Haryana, 123106, India",28.2055216,76.7953099
"New Industrial Town, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561
"Sector 11, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561
"Sector 30, Faridabad - HSPCB",Faridabad,Haryana,"Faridabad, Haryana, India","Faridabad, Haryana, 121001, India",28.4031478,77.3105561
